No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Price,Layer,3D Model Title
1,3,1uF,"C1,C2,C3",C0603,,CSA0603X5R105K160JT,HRE(芯声),C3015156,LCSC,,B,C0603_L1.6-W0.8-H0.8
2,5,100nF,"C4,C5,C8,C13,C16",C0402,,TCC0402X5R106M6R3ATR,CCTC(三环),C48543727,LCSC,,B,C0402_L1.0-W0.5-H0.5
3,2,22uF,"C6,C7",C0402,,TCC0402X5R106M6R3ATR,CCTC(三环),C48543727,LCSC,,B,C0402_L1.0-W0.5-H0.5
4,1,10uF,C9,C0402,,TCC0402X5R106M6R3ATR,CCTC(三环),C48543727,LCSC,,B,C0402_L1.0-W0.5-H0.5
5,3,1uF,"C10,C11,C12",C0402,,TCC0402X5R106M6R3ATR,CCTC(三环),C48543727,LCSC,,B,C0402_L1.0-W0.5-H0.5
6,17,10uF,"C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C33",C1206,,TCC1206X5R106K500HT,CCTC(三环),C5448914,LCSC,,B,C1206_L3.2-W1.6-H1.3
7,1,22uH,L1,IND-SMD_L4.4-W4.0_PHC0420,,APH0420T220M,APV(爱普微),C5349666,LCSC,,B,IND-SMD_L4.4-W4.0-H1.2_PHC0420
8,6,FDBL0200N100,"Q1,Q2,Q3,Q4,Q5,Q6",H-PSOF-8L_L11.7-W9.8-P1.20-BL,,FDBL0200N100,onsemi(安森美),C900877,LCSC,,T,H-PSOF-8L_L11.7-W9.8-P1.20-BL
9,17,10kΩ,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R16,R17,R18,R19,R21,R22",R0402,,0402 ±1% 10K,VO(翔胜),C2889342,LCSC,,B,R0402_L1.0-W0.5-H0.4
10,2,100kΩ,"R13,R15",R0402,,0402 ±1% 10K,VO(翔胜),C2889342,LCSC,,B,R0402_L1.0-W0.5-H0.4
11,1,68kΩ,R14,R0402,,0402 ±1% 10K,VO(翔胜),C2889342,LCSC,,B,R0402_L1.0-W0.5-H0.4
12,2,1kΩ,"R20,R26",R0402,,0402 ±1% 10K,VO(翔胜),C2889342,LCSC,,B,R0402_L1.0-W0.5-H0.4
13,4,200kΩ,"R23,R24,R25,R27",R0402,,0402 ±1% 10K,VO(翔胜),C2889342,LCSC,,B,R0402_L1.0-W0.5-H0.4
14,1,AT32F421G8U7,U1,QFN-28_L4.0-W4.0-P0.40-TL-EP2.4,,AT32F421G8U7,ARTERY(雅特力),C2765098,LCSC,,B,UQFN-28_L4.0-W4.0-H0.5-P0.40-BL-EP2.4
15,1,DRV8300DPWR,U2,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,DRV8300DPWR,TI(德州仪器),C3036056,LCSC,,B,TSSOP-20_L6.5-W4.4-H1.0-LS6.4-P0.65
16,3,1mΩ,"U9,U12,U13",RES-SMD_L6.4-W3.2_LR2512D-3W-1MR,,PA2512FKF7W0R001E,YAGEO(国巨),C412505,LCSC,,B,RES-SMD_L6.4-W3.2_LR2512D-3W-1MR
17,1,INA280A2IDCKR,U11,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BL,,INA280A2IDCKR,TI(德州仪器),C1518680,LCSC,,B,SC-70-5_L2.0-W1.3-H1.0-P0.65
18,1,LM5164DDAR,U15,SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,LM5164DDAR,TI(德州仪器),C477928,LCSC,,B,SO-8_L4.9-W3.9-H1.5-LS5.9-P1.27
19,1,AMS1117-3.3VS,U17,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,,AMS1117-3.3VS,QNHCHIP(乾能惠),C50379991,LCSC,,B,SOT-89-3_L4.3-W2.5-H1.6-LS4.1-P1.50
